국명,과명,과국명,학명
가거개별꽃,Caryophyllaceae,석죽과,Pseudostellaria palibiniana (Takeda) Ohwi var. gageodoensis M.Kim & H.Jo
가거꼬리고사리,Aspleniaceae,꼬리고사리과,Asplenium yoshinagae Makino
가거애기닥나무,Moraceae,뽕나무과,Broussonetia × kazinoki Siebold ex Siebold & Zucc. f. koreana M.Kim
가거양지꽃,Rosaceae,장미과,Potentilla gageodoensis M.Kim
가거줄사초,Cyperaceae,사초과,Carex brunnea Thunb.
가는가래,Potamogetonaceae,가래과,Potamogeton cristatus Regel & Maack
가는갈퀴,Fabaceae,콩과,Vicia angustifolia L. var. minor (Bertol.) Ohwi
가는개밀,Poaceae,벼과,Elymus ciliaris (Trin. ex Bunge) Tzvelev var. hackelianus (Honda) G.Zhu & S.L.Chen
가는개수염,Eriocaulaceae,곡정초과,Eriocaulon tenuissimum Nakai
가는개여뀌,Polygonaceae,마디풀과,Persicaria trigonocarpa (Makino) Nakai
가는갯는쟁이,Chenopodiaceae,명아주과,Atriplex gmelinii C.A.Mey. ex Bong.
가는고추나물,Clusiaceae,물레나물과,Hypericum pulchrum L.
가는골무꽃,Lamiaceae,꿀풀과,Scutellaria regeliana Nakai
가는괴불주머니,Papaveraceae,양귀비과,Corydalis raddeana Regel
가는금강아지풀,Poaceae,벼과,Setaria pumila (Poir.) Roem. & Schult. subsp. pallide-fusca (Schumach.) B.K.Simon
가는금불초,Asteraceae,국화과,Inula linariifolia Turcz.
가는기름나물,Apiaceae,산형과,Kitagawia komarovii Pimenov
가는기린초,Crassulaceae,돌나물과,Phedimus aizoon (L.) 't Hart
가는끈끈이장구채,Caryophyllaceae,석죽과,Silene antirrhina L.
가는나래새,Poaceae,벼과,Achnatherum sibiricum (L.) Keng ex Tzvelev
가는네잎갈퀴,Rubiaceae,꼭두서니과,Galium trifidum L.
가는다리장구채,Caryophyllaceae,석죽과,Silene jeniseensis Willd.
가는대나물,Caryophyllaceae,석죽과,Gypsophila pacifica Kom.
가는돌쩌귀,Ranunculaceae,미나리아재비과,Aconitum villosum Rchb.
가는돌피,Poaceae,벼과,Echinochloa crus-galli (L.) P.Beauv. var. austrojaponensis Ohwi
가는동자꽃,Caryophyllaceae,석죽과,Lychnis kiusiana Makino
가는등갈퀴,Fabaceae,콩과,Vicia tenuifolia Roth
가는마디꽃,Lythraceae,부처꽃과,Rotala mexicana Cham. & Schltdl.
가는명아주,Chenopodiaceae,명아주과,Chenopodium album L. var. stenophyllum Makino
가는물꼬챙이골,Cyperaceae,사초과,Eleocharis parvinux Ohwi
가는물달개비,Pontederiaceae,물옥잠과,Monochoria vaginalis (Burm.f.) C.Presl var. angustifolia G.X.Wang
가는물부추,Isoetaceae,물부추과,Isoetes sinensis Palmer
가는미국외풀,Scrophulariaceae,현삼과,Lindernia dubia (L.) Pennell var. anagallidea (Michx.) Cooperr.
가는민바늘꽃,Onagraceae,바늘꽃과,Epilobium platystigmatosum C.B.Rob.
가는밀사초,Cyperaceae,사초과,Carex toyoshimae Tuyama
가는바디,Apiaceae,산형과,Ostericum maximowiczii (F.Schmidt) Kitag.
가는범꼬리,Polygonaceae,마디풀과,Bistorta alopecuroides (Turcz. ex Kom.) Nakai
가는비늘사초,Cyperaceae,사초과,Carex suifunensis Kom.
가는사초,Cyperaceae,사초과,Carex disperma Dewey
가는산부추,Liliaceae,백합과,Allium splendens Willd. ex Schult. & Schult.f.
가는살갈퀴,Fabaceae,콩과,Vicia sativa L. subsp. nigra Ehrh.
가는쇠고사리,Dryopteridaceae,관중과,Arachniodes exilis (Hance) Ching
가는수크령,Poaceae,벼과,Pennisetum flaccidum Griseb.
가는쑥부쟁이,Asteraceae,국화과,Aster pekinensis (Hance) F.H.Chen
가는쑥부지깽이,Brassicaceae,배추과,Erysimum macilentum Bunge
가는여뀌,Polygonaceae,마디풀과,Persicaria hydropiper (L.) Delarbre f. angustissima (Makino) Araki
가는오이풀,Rosaceae,장미과,Sanguisorba × tenuifolia Fisch. ex Link
가는잎가시상추,Asteraceae,국화과,Lactuca saligna L.
가는잎가자니아,Asteraceae,국화과,Gazania linearis (Thunb.) Druce
가는잎개고사리,Athyriaceae,개고사리과,Athyrium iseanum Rosenst.
가는잎개별꽃,Caryophyllaceae,석죽과,Pseudostellaria sylvatica (Maxim.) Pax
가는잎그늘사초,Cyperaceae,사초과,Carex humilis Leyss. var. nana (H.Lév. & Vaniot) Ohwi
가는잎금방망이,Asteraceae,국화과,Senecio inaequidens DC.
가는잎금털고사리,Hypodematiaceae,금털고사리과,Hypodematium angustifolium C.S.Lee & K.H.Lee
가는잎나래새,Poaceae,벼과,Stipa tenuissima Trin.
가는잎매자나무,Berberidaceae,매자나무과,Berberis koreana Palib. var. angustifolia Nakai
가는잎모새달,Poaceae,벼과,Phacelurus latifolius (Steud.) Ohwi var. angustifolius (Debeaux) Kitag.
가는잎물억새,Poaceae,벼과,Miscanthus sacchariflorus (Maxim.) Benth. & Hool.f. ex Franch. var. gracilis Y.N.Lee
가는잎미선콩,Fabaceae,콩과,Lupinus angustifolius L.
가는잎바꽃,Ranunculaceae,미나리아재비과,Aconitum macrorhynchum Turcz. ex Ledeb.
가는잎바위솔,Crassulaceae,돌나물과,Orostachys linearifolia R. Kunok & Pak
가는잎방풍,Apiaceae,산형과,Libanotis seseloides (Fisch. & C.A.Mey. ex Turcz.) Turcz.
가는잎산들깨,Lamiaceae,꿀풀과,Mosla chinensis Maxim.
가는잎소리쟁이,Polygonaceae,마디풀과,Rumex stenophyllus Ledeb.
가는잎쐐기풀,Urticaceae,쐐기풀과,Urtica angustifolia Fisch. ex Hornem.
가는잎쑥,Asteraceae,국화과,Artemisia subulata Nakai
가는잎억새,Poaceae,벼과,Miscanthus sinensis Andersson var. gracillimus Hitchc.
가는잎왕고들빼기,Asteraceae,국화과,Lactuca indica L. var. laciniata (Houtt.) H.Hara f. indivisa (Maxim.) H.Hara
가는잎음나무,Araliaceae,두릅나무과,Kalopanax septemlobus (Thunb.) Koidz. f. maximowiczii (Van Houtte) H.Ohashi
가는잎조팝나무,Rosaceae,장미과,Spiraea thunbergii Siebold ex Blume
가는잎조팝나무 '마운트 후지',Rosaceae,장미과,Spiraea thunbergii 'Mount Fuji'
가는잎조팝나무 '아우레아',Rosaceae,장미과,Spiraea thunbergii 'Aurea'
가는잎조팝나무 '후지노 핑크',Rosaceae,장미과,Spiraea thunbergii 'Fujino Pink'
가는잎족제비고사리,Dryopteridaceae,관중과,Dryopteris chinensis (Baker) Koidz.
가는잎처녀고사리,Thelypteridaceae,처녀고사리과,Parathelypteris beddomei (Baker) Ching
가는잎털냉이,Brassicaceae,배추과,Sisymbrium altissimum L.
가는잎털석잠풀,Lamiaceae,꿀풀과,Stachys riederi Cham. var. hispidula (Regel) H.Hara f. angustifolia (Honda) H.Hara
가는잎패랭이꽃,Caryophyllaceae,석죽과,Dianthus pinifolius Sm.
가는잎푸른딱지꽃,Rosaceae,장미과,Potentilla tanacetifolia Wild. ex D.F.K.Schltdl.
가는잎한련초,Asteraceae,국화과,Eclipta alba (L.) Hassk.
가는잎할미꽃,Ranunculaceae,미나리아재비과,Pulsatilla cernua (Thunb.) Bercht. ex J.Presl
가는잎향유,Lamiaceae,꿀풀과,Elsholtzia angustifolia (Loes.) Kitag.
가는장구채,Caryophyllaceae,석죽과,Silene seoulensis Nakai
가는장대,Brassicaceae,배추과,Dontostemon dentatus (Bunge) C.A.Mey. ex Ledeb.
가는줄돌쩌귀,Ranunculaceae,미나리아재비과,Aconitum volubile Pall. ex Koelle
가는참나물,Apiaceae,산형과,Pimpinella koreana Nakai
가는청사초,Cyperaceae,사초과,Carex puberula Boott
가는타래사초,Cyperaceae,사초과,Carex molestiformis Reznicek & Rothrock
가는털백미,Apocynaceae,협죽도과,Cynanchum chinense R.Br.
가는털비름,Amaranthaceae,비름과,Amaranthus patulus Bertol.
가는포아풀,Poaceae,벼과,Poa matsumurae Hack.
가는하늘지기,Cyperaceae,사초과,Fimbristylis dichotoma (L.) Vahl f. depauperata (R.Br.) Ohwi
가는홍자단,Rosaceae,장미과,Cotoneaster perpusillus (C.K.Schneid.) Flinck & B.Hylm
가는홍지네고사리,Dryopteridaceae,관중과,Dryopteris caudipinna Nakai
가는흑삼릉,Typhaceae,부들과,Sparganium subglobosum Morong
가는흰사초,Cyperaceae,사초과,Carex alopecuroides D.Don
가단화만병초,Ericaceae,진달래과,Rhododendron pemakoense Kingdon-Ward
가두리아카시아,Mimosaceae,,Acacia fimbriata G.Don
가두리정향풀,Apocynaceae,협죽도과,Amsonia ciliata Walter
가든버베나,Verbenaceae,마편초과,Verbena × hybrida Hort. ex Vilm.
가든타임 '둔 밸리',Lamiaceae,꿀풀과,Thymus 'Doone Valley'
가락지나물,Rosaceae,장미과,Potentilla anemonifolia Lehm.
가래,Potamogetonaceae,가래과,Potamogeton distinctus A.Benn.
가래고사리,Thelypteridaceae,처녀고사리과,Phegopteris connectilis (Michx.) D.Watt
가래나무,Juglandaceae,가래나무과,Juglans mandshurica Maxim.
가래바람꽃,Ranunculaceae,미나리아재비과,Anemone dichotoma L.
가르기니아 리니,Clusiaceae,물레나물과,Garcinia linii C.E.Chang
가리아 엘립티카,Garryaceae,가리아과,Garrya elliptica Douglas ex Lindl.
가리아 엘립티카 '제임스 루프',Garryaceae,가리아과,Garrya elliptica 'James Roof'
가리아 투레티,Garryaceae,가리아과,Garrya × thuretii Carr.
가막사리,Asteraceae,국화과,Bidens tripartita L.
가막살나무,Caprifoliaceae,인동과,Viburnum dilatatum Thunb.
가문비나무,Pinaceae,소나무과,Picea jezoensis (Siebold & Zucc.) Carrière
가문비나무 '야츠부사',Pinaceae,소나무과,Picea jezoensis 'Yatsubusa'
가문비나무 '치토세야마',Pinaceae,소나무과,Picea jezoensis 'Chitoseyama'
가새끈끈이주걱,Droseraceae,끈끈이귀개과,Drosera binata Labill.
가새끈끈이주걱 '물티피다',Droseraceae,끈끈이귀개과,Drosera binata 'Multifida'
가새덜꿩나무,Caprifoliaceae,인동과,Viburnum erosum Thunb. var. taquetii (H.Lév.) Rehder
가새쑥부쟁이,Asteraceae,국화과,Aster incisus Fisch.
가새잎개갓냉이,Brassicaceae,배추과,Rorippa sylvestris (L.) Besser
가새잎개머루,Vitaceae,포도과,Ampelopsis glandulosa (Wall.) Momiy. var. heterophylla (Thunb.) Momiy. f. citrulloides (Lebas) Momiy.
가새잎개머루 '엘레간스',Vitaceae,포도과,Ampelopsis glandulosa var. heterophylla 'Elegans'
가솔송,Ericaceae,진달래과,Phyllodoce caerulea (L.) Bab.
가스테리아 그라킬리스,Liliaceae,백합과,Gasteria gracilis Baker
가스테리아 그라킬리스 미니마,Liliaceae,백합과,Gasteria gracilis var. minima
가스테리아 니티다 아름스트롱기,Liliaceae,백합과,Gasteria nitida var. armstrongii (Schönland) van Jaarsv.
가스테리아 디스티카,Liliaceae,백합과,Gasteria disticha (L.) Haw.
가시가지,Solanaceae,가지과,Solanum rostratum Dunal
가시개관중,Dryopteridaceae,관중과,Polystichum rigens Tagawa
가시개올미,Cyperaceae,사초과,Scleria rugosa R.Br.
가시까치밥나무,Grossulariaceae,까치밥나무과,Ribes diacanthum Pall.
가시꽈리,Solanaceae,가지과,Physaliastrum echinatum (Yatabe) Makino
가시나무,Fagaceae,참나무과,Quercus myrsinifolia Blume
가시도꼬마리,Asteraceae,국화과,Xanthium italicum Moretti
가시딸기,Rosaceae,장미과,Rubus hongnoensis Nakai
가시만병초,Ericaceae,진달래과,Rhododendron barbatum G.Don
가시바위솔,Crassulaceae,돌나물과,Orostachys fimbriata (Turcz.) A.Barger
가시박,Cucurbitaceae,박과,Sicyos angulatus L.
가시복분자딸기,Rosaceae,장미과,Rubus schizostylus H.Lév.
가시비름,Amaranthaceae,비름과,Amaranthus spinosus L.
가시상추,Asteraceae,국화과,Lactuca serriola L.
가시소나무,Pinaceae,소나무과,Pinus muricata D.Don
가시소나무 '블루 스트레인',Pinaceae,소나무과,Pinus muricata 'Blue Strain'
가시엉겅퀴,Asteraceae,국화과,Cirsium japonicum Fisch. ex DC. var. spinossimum Kitam.
가시여뀌,Polygonaceae,마디풀과,Persicaria dissitiflora (Hemsl.) H.Gross ex T.Mori
가시연꽃,Nymphaeaceae,수련과,Euryale ferox Salisb.
가시오갈피,Araliaceae,두릅나무과,Eleutherococcus senticosus (Rupr. & Maxim.) Maxim.
가시자두 '푸르푸레아',Rosaceae,장미과,Prunus spinosa 'Purpurea'
가시칠엽수,Hippocastanaceae,칠엽수과,Aesculus hippocastanum L.
가시칠엽수 '디기타타',Hippocastanaceae,칠엽수과,Aesculus hippocastanum 'Digitata'
가시파대가리,Cyperaceae,사초과,Kyllinga brevifolia Rottb.
가시푸른양귀비,Papaveraceae,양귀비과,Meconopsis horridula Hook.f. & Thomson
가야단풍취,Asteraceae,국화과,Ainsliaea acerifolia Sch.Bip. var. subapoda Nakai
가야물봉선,Balsaminaceae,봉선화과,Impatiens atrosanguinea (Nakai) B.U.Oh & Y.P.Hong
가야산잔대,Campanulaceae,초롱꽃과,Adenophora kayasanensis Kitam.
가우라,Onagraceae,바늘꽃과,Gaura lindheimeri Engelm. & A.Gray
가우라 '발레리나 로즈',Onagraceae,바늘꽃과,Gaura lindheimeri 'Ballerina Rose'
가우라 '발레리나 블러쉬',Onagraceae,바늘꽃과,Gaura lindheimeri 'Ballerina Blush'
가우라 '시스키유 핑크',Onagraceae,바늘꽃과,Gaura lindheimeri 'Siskiyou Pink'
가우라 '크림슨 버터플라이스',Onagraceae,바늘꽃과,Gaura lindheimeri 'Crimson Butterflies'
가우라 '훨링 버터플라이스',Onagraceae,바늘꽃과,Gaura lindheimeri 'Whirling Butterflies'
가울테리아 무크로나타,Ericaceae,진달래과,Gaultheria mucronata (L.f.) Hook. & Arn.
가울테리아 미쿠엘리아나,Ericaceae,진달래과,Gaultheria miqueliana Takeda
가울테리아 스할론,Ericaceae,진달래과,Gaultheria shallon Pursh
가울테리아 위슬리엔시스,Ericaceae,진달래과,Gaultheria × wisleyensis Marchant ex D. J. Middleton
가울테리아 쿠네아타,Ericaceae,진달래과,Gaultheria cuneata (Rehder & E.H.Wilson) Bean
가을강아지풀,Poaceae,벼과,Setaria faberi R.A.W.Herrm.
가을장구채 '페르시안 카펫',Caryophyllaceae,석죽과,Silene schafta 'Persian Carpet'
가이어할미꽃,Ranunculaceae,미나리아재비과,Pulsatilla gayeri Simonk.
가자니아 리겐스,Asteraceae,국화과,Gazania rigens (L.) Gaertn.
가재발선인장,Cactaceae,선인장과,Rhipsalidopsis gaertneri (Regel) Moran
가좀진고사리,Athyriaceae,개고사리과,Deparia oldhamii (Hook. & Baker) Y.C.Oh & C.S.Lee
가죽나무,Simaroubaceae,소태나무과,Ailanthus altissima (Mill.) Swingle
가죽사초,Cyperaceae,사초과,Carex buchananii Berggr.
가죽사초 '비리디스',Cyperaceae,사초과,Carex buchananii 'Viridis'
가지,Solanaceae,가지과,Solanum melongena L.
가지고비고사리,Pteridaceae,봉의꼬리과,Coniogramme japonica (Thunb.) Diels
가지곡정초,Eriocaulaceae,곡정초과,Eriocaulon setaceum L.
가지괭이눈,Saxifragaceae,범의귀과,Chrysosplenium ramosum Maxim.
가지괴불나무,Caprifoliaceae,인동과,Lonicera ramosissima Franch. & Sav. ex Maxim.
가지금불초,Asteraceae,국화과,Inula japonica Thunb. var. ramosa (Kom.) C.Y.Li
가지꼭두서니,Rubiaceae,꼭두서니과,Rubia hexaphylla (Makino) Makino
가지꽃고비,Polemoniaceae,꽃고비과,Polemonium caeruleum L. subsp. laxiflorum (Regel) Koji Ito
가지더부살이,Orobanchaceae,열당과,Phacellanthus tubiflorus Siebold & Zucc.
가지돌꽃,Crassulaceae,돌나물과,Rhodiola ramosa Nakai
가지돌피,Poaceae,벼과,Echinochloa crus-galli (L.) P.Beauv. var. mitis (Pursh) Peterm.
가지민박쥐,Asteraceae,국화과,Parasenecio hastatus (L.) H.Koyama var. ramosa (Kitam.) H.Koyama
가지바위솔,Crassulaceae,돌나물과,Orostachys ramosa Y.N.Lee
가지제비고깔,Ranunculaceae,미나리아재비과,Delphinium consolida L.
가지제비꽃,Violaceae,제비꽃과,Viola ramiflora K.O.Yoo
가지주름조개풀,Poaceae,벼과,Oplismenus compositus (L.) P.Beauv.
가지쥐꼬리새,Poaceae,벼과,Muhlenbergia ramosa (Hack. ex Matsum.) Makino
가지질경이,Plantaginaceae,질경이과,Plantago multistachya S.H.Oh
가지청사초,Cyperaceae,사초과,Carex polyschoena H.Lév. & Vaniot
가지털괭이눈,Saxifragaceae,범의귀과,Chrysosplenium ramosissimum Y.I.Kim & Y.D.Kim
가침박달,Rosaceae,장미과,Exochorda serratifolia S.Moore
가회톱,Vitaceae,포도과,Ampelopsis japonica (Thunb.) Makino
각시갈퀴나물,Fabaceae,콩과,Vicia dasycarpa Ten.
각시고사리,Thelypteridaceae,처녀고사리과,Macrothelypteris torresiana (Gaudich.) Ching var. calvata (Baker) Holttum
각시괴불나무,Caprifoliaceae,인동과,Lonicera chrysantha Turcz. ex Ledeb.
각시굴거리나무,Daphniphyllaceae,굴거리나무과,Daphniphyllum macropodum var. humile (Maxim. ex Franch. & Sav.) K.Rosenthal
각시그령,Poaceae,벼과,Eragrostis japonica (Thunb.) Trin.
각시대만백합,Liliaceae,백합과,Lilium formosanum var. pricei Stoker
각시두메부추,Liliaceae,백합과,Allium spurium G.Don
각시둥굴레,Liliaceae,백합과,Polygonatum humile Fisch. ex Maxim.
각시마,Dioscoreaceae,마과,Dioscorea tenuipes Franch. & Sav.
각시미꾸리광이,Poaceae,벼과,Puccinellia chinampoensis Ohwi
각시부용,Malvaceae,아욱과,Hibiscus lavateroides Moric.
각시붓꽃,Iridaceae,붓꽃과,Iris rossii Baker
각시비늘이끼,Selaginellaceae,부처손과,Selaginella heterostachys Baker
각시비름,Amaranthaceae,비름과,Amaranthus arenicola I.M.Johnst.
각시서덜취,Asteraceae,국화과,Saussurea macrolepis (Nakai) Kitam.
각시수련,Nymphaeaceae,수련과,Nymphaea tetragona Georgi var. minima (Nakai) W.T.Lee
각시수염붓꽃 '블루 데님',Iridaceae,붓꽃과,Iris 'Blue Denim'
각시수염붓꽃 '체리 가든',Iridaceae,붓꽃과,Iris 'Cherry Garden'
각시원추리,Liliaceae,백합과,Hemerocallis dumortieri C.Morren
각시제비꽃,Violaceae,제비꽃과,Viola boissieuana Makino
각시족도리풀,Aristolochiaceae,쥐방울덩굴과,Asarum misandrum B.U.Oh & J.G.Kim
각시중국마가목,Rosaceae,장미과,Sorbus reducta Diels
각시체꽃 '나나',Dipsacaceae,산토끼꽃과,Scabiosa columbaria 'Nana'
각시체꽃 '미스티 버터플라이스',Dipsacaceae,산토끼꽃과,Scabiosa columbaria 'Misty Butterflies'
각시체꽃 '핀쿠션 핑크',Dipsacaceae,산토끼꽃과,Scabiosa columbaria 'Pincushion Pink'
각시취,Asteraceae,국화과,Saussurea pulchella (Fisch.) Fisch. ex Colla
각시톱지네고사리,Dryopteridaceae,관중과,Dryopteris hangchowensis Ching
각시통점나도나물,Caryophyllaceae,석죽과,Cerastium pauciflorum Stev. ex Ser. var. amurense (Regel) Mizush.
각시투구꽃,Ranunculaceae,미나리아재비과,Aconitum monanthum Nakai
각시하지용담,Gentianaceae,용담과,Gentiana septemfida var. lagodechiana Kusn.
각시하지용담 '셀렉트',Gentianaceae,용담과,Gentiana septemfida var. lagodechiana 'Select'
각시현호색,Papaveraceae,양귀비과,Corydalis misandra B.U.Oh
간도제비꽃,Violaceae,제비꽃과,Viola dissecta Ledeb.
간장풀,Lamiaceae,꿀풀과,Nepeta stewartiana Diels
갈고리꽃마리,Boraginaceae,지치과,Ancistrocarya japonica Maxim.
갈고리네잎갈퀴,Rubiaceae,꼭두서니과,Galium pseudoasprellum Makino
갈기기름나물,Apiaceae,산형과,"Peucedanum chujaense K.Kim, S.H.Oh, Chan S.Kim & C.W.Park"
갈기동자꽃,Caryophyllaceae,석죽과,Lychnis flos-cuculi L.
갈기동자꽃 '나나',Caryophyllaceae,석죽과,Lychnis flos-cuculi 'Nana'
갈기동자꽃 '화이트 로빈',Caryophyllaceae,석죽과,Lychnis flos-cuculi 'White Robin'
갈기조팝나무,Rosaceae,장미과,Spiraea trichocarpa Nakai
갈대,Poaceae,벼과,Phragmites australis (Cav.) Trin. ex Steud.
갈래꿀풀,Lamiaceae,꿀풀과,Prunella intermedia Link
갈래잎어수리,Apiaceae,산형과,Heracleum dissectum Ledeb.
갈래잎제라늄,Geraniaceae,쥐손이풀과,Pelargonium radens H.E.Moore
갈래조팝나무,Rosaceae,장미과,Spiraea trilobata L.
갈레중국목련,Magnoliaceae,목련과,Magnolia officinalis var. biloba Rehder & E.H.Wilson
갈매기난초,Orchidaceae,난초과,Platanthera japonica (Thunb.) Lindl.
갈매나무,Rhamnaceae,갈매나무과,Rhamnus davurica Pall.
갈미바위솔,Crassulaceae,돌나물과,Orostachys kanboensis Ohwi
갈미사초,Cyperaceae,사초과,Carex bigelowii Torr. ex Schwein.
갈미쥐손이,Geraniaceae,쥐손이풀과,Geranium lasiocaulon Nakai
갈방동사니,Cyperaceae,사초과,Cyperus fuscus L.
갈사초,Cyperaceae,사초과,Carex ligulata Nees
갈색사초,Cyperaceae,사초과,Carex caryophyllea Latourr. var. microtricha (Franch.) Kük.
갈색청사초,Cyperaceae,사초과,Carex stenostachys Franch. & Sav.
갈졸참나무,Fagaceae,참나무과,Quercus × urticifolia Blume
갈참나무,Fagaceae,참나무과,Quercus aliena Blume
갈퀴꼭두서니,Rubiaceae,꼭두서니과,Rubia cordifolia L.
갈퀴나물,Fabaceae,콩과,Vicia amoena Fisch. ex Ser.
갈퀴덩굴,Rubiaceae,꼭두서니과,Galium spurium L. var. echinospermum (Wallr.) Desp.
갈퀴망종화,Clusiaceae,물레나물과,Hypericum galioides Lam.
갈퀴아재비,Rubiaceae,꼭두서니과,Asperula lasiantha Nakai
갈퀴장구채,Caryophyllaceae,석죽과,Silene dichotoma Ehrh.
갈퀴지치,Boraginaceae,지치과,Asperugo procumbens L.
갈퀴현호색,Papaveraceae,양귀비과,Corydalis grandicalyx B.U.Oh & Y.S.Kim
갈토니아 비리디플로라,Liliaceae,백합과,Galtonia viridiflora Verdc.
갈토니아 칸디칸스,Liliaceae,백합과,Galtonia candicans (Baker) Decne.
갈토니아 프링켑스,Liliaceae,백합과,Galtonia princeps (Baker) Decne.
갈풀,Poaceae,벼과,Phalaris arundinacea L.
감국,Asteraceae,국화과,Chrysanthemum indicum L.
감나무,Ebenaceae,감나무과,Diospyros kaki Thunb.
감둥사초,Cyperaceae,사초과,Carex atrata L.
감숙매자나무,Berberidaceae,매자나무과,Berberis aridocalida Ahrendt
감숙용담,Gentianaceae,용담과,Gentiana gracilipes Turrill
감자,Solanaceae,가지과,Solanum tuberosum L.
감자개발나물,Apiaceae,산형과,Sium ninsi L.
감자난초,Orchidaceae,난초과,Oreorchis patens (Lindl.) Lindl.
감절대,Polygonaceae,마디풀과,Reynoutria forbesii (Hance) T.Yamaz.
감초,Fabaceae,콩과,Glycyrrhiza uralensis Fisch.
감초황기,Fabaceae,콩과,Astragalus glycyphyllos L.
감탕나무,Aquifoliaceae,감탕나무과,Ilex integra Thunb.
감태나무,Lauraceae,녹나무과,Lindera glauca (Siebold & Zucc.) Blume
갑산제비꽃,Violaceae,제비꽃과,Viola kapsanensis Nakai
갑산포아풀,Poaceae,벼과,Poa ussuriensis Roshev.
갓,Brassicaceae,배추과,Brassica juncea (L.) Czern.
갓대,Poaceae,벼과,Sasa chiisanensis (Nakai) Y.N.Lee
갓무늬얼룩애크메아,Bromeliaceae,파인애플과,Aechmea fasciata var. marginata
강계버들,Salicaceae,버드나무과,Salix kangensis Nakai
강계큰물통이,Urticaceae,쐐기풀과,Pilea oligantha Nakai
강낭콩,Fabaceae,콩과,Phaseolus vulgaris var. humilis Alef.
강변노루오줌,Saxifragaceae,범의귀과,Astilbe rivularis Buch.-Ham. ex D.Don
강수선인장,Cactaceae,선인장과,Ferocactus emoryi (Engelm.) Orcutt
강아지풀,Poaceae,벼과,Setaria viridis (L.) P.Beauv.
강화황기,Fabaceae,콩과,Astragalus sikokianus Nakai
강활,Apiaceae,산형과,Angelica reflexa B.Y.Lee
개가시나무,Fagaceae,참나무과,Quercus gilva Blume
개가지고비고사리,Pteridaceae,봉의꼬리과,Coniogramme × fauriei Hieron.
개갈퀴,Rubiaceae,꼭두서니과,Galium maximowiczii (Kom.) Pobed.
개감수,Euphorbiaceae,대극과,Euphorbia sieboldiana Morren & Decne.
개감채,Liliaceae,백합과,Lloydia serotina (L.) Rchb.
개감초,Fabaceae,콩과,Glycyrrhiza pallidiflora Makino
개갓냉이,Brassicaceae,배추과,Rorippa indica (L.) Hiern
개고사리,Athyriaceae,개고사리과,Athyrium niponicum (Mett.) Hance
개고사리 '코카게 니시키',Athyriaceae,개고사리과,Athyrium niponicum 'Kokage Nishiki'
개곽향,Lamiaceae,꿀풀과,Teucrium japonicum Houtt.
개구리갓,Ranunculaceae,미나리아재비과,Ranunculus ternatus Thunb.
개구리미나리,Ranunculaceae,미나리아재비과,Ranunculus tachiroei Franch. & Sav.
개구리발톱,Ranunculaceae,미나리아재비과,Semiaquilegia adoxoides (DC.) Makino
개구리밥,Lemnaceae,개구리밥과,Spirodela polyrhiza (L.) Schleid.
개구리자리,Ranunculaceae,미나리아재비과,Ranunculus sceleratus L.
개구릿대,Apiaceae,산형과,Angelica anomala Avé-Lall.
개굴피나무,Juglandaceae,가래나무과,Pterocarya rhoifolia Siebold & Zucc.
개기장,Poaceae,벼과,Panicum bisulcatum Thunb.
개꽃,Asteraceae,국화과,Matricaria limosa (Maxim.) Kudô
개꽃마리,Boraginaceae,지치과,Myosotis laxa Lehm.
개꽃아재비,Asteraceae,국화과,Anthemis cotula L.
개나래새,Poaceae,벼과,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl
개나리,Oleaceae,물푸레나무과,Forsythia koreana (Rehder) Nakai
개나리 '베아트릭스 페란드',Oleaceae,물푸레나무과,Forsythia 'Beatrix Farrand'
개나리 '서울 골드',Oleaceae,물푸레나무과,Forsythia koreana 'Seoul Gold'
개나리 '수원 골드',Oleaceae,물푸레나무과,Forsythia koreana 'Suwon Gold'
개노박덩굴,Celastraceae,노박덩굴과,Celastrus orbiculatus Thunb. var. strigillosus (Nakai) Makino
개느삼,Fabaceae,콩과,Sophora koreensis Nakai
개다래,Actinidiaceae,다래나무과,Actinidia polygama (Siebold & Zucc.) Planch. ex Maxim.
개담배,Asteraceae,국화과,Ligularia schmidtii (Maxim.) Makino
개당주나무,Grossulariaceae,까치밥나무과,Ribes fasciculatum Siebold & Zucc.
개당키버들,Salicaceae,버드나무과,Salix purpurea var. lambertiana (Sm.) W.D.J. Koch
개대황,Polygonaceae,마디풀과,Rumex longifolius DC.
개도둑놈의갈고리,Fabaceae,콩과,Hylodesmum podocarpum (DC.) H.Ohashi & R.R.Mill
개똥쑥,Asteraceae,국화과,Artemisia annua L.
개량사과나무 '메이폴',Rosaceae,장미과,Malus domestica 'Maypole'
개마디풀,Polygonaceae,마디풀과,Polygonum equisetiforme Sm.
개마쇠서나물,Asteraceae,국화과,Picris hieracioides L. subsp. kaimaensis (Kitam.) Kitam.
개마투구꽃,Ranunculaceae,미나리아재비과,Aconitum kaimaense Uyeki & Sakata
개말나리,Liliaceae,백합과,Lilium medeoloides A.Gray
개망초,Asteraceae,국화과,Erigeron annuus (L.) Pers.
개맥문동,Liliaceae,백합과,Liriope spicata (Thunb.) Lour.
개맥문동 '긴류',Liliaceae,백합과,Liriope spicata 'Gin-Ryu'
